classifier,class,metric,ap_type,category_name,category,point,ci_low,ci_high,ci_method
CLEAN,GPP,roc_auc,pooled_oof,Kingdom,Plants,0.7317837210427225,0.6146378173694502,0.838331750430274,percentile
CLEAN,GPP,roc_auc,pooled_oof,Kingdom,Protists,0.55,0.49585520257826887,0.6987882653061223,percentile
CLEAN,GPP,roc_auc,pooled_oof,Kingdom,Viruses,0.5,0.5,0.5,percentile
CLEAN,IDS,ap,pooled_oof,Kingdom,Animals,0.7894736842105263,0.4,1.0,percentile
CLEAN,IDS,ap,pooled_oof,Kingdom,Archaea,1.0,1.0,1.0,percentile
CLEAN,IDS,ap,pooled_oof,Kingdom,Bacteria,0.9047619047619048,0.75,1.0,percentile
CLEAN,IDS,ap,pooled_oof,Kingdom,Fungi,0.5704738270679601,0.36681686331581,0.7360357305572365,percentile
CLEAN,IDS,ap,pooled_oof,Kingdom,Plants,0.9666666666666667,0.9285714285714286,1.0,percentile
CLEAN,IDS,ap,pooled_oof,Kingdom,Protists,1.0,1.0,1.0,percentile
CLEAN,IDS,ap,pooled_oof,Kingdom,Viruses,1.0,1.0,1.0,percentile
CLEAN,IDS,roc_auc,pooled_oof,Kingdom,Animals,0.9992460416714037,0.9982332324503973,1.0,percentile
CLEAN,IDS,roc_auc,pooled_oof,Kingdom,Archaea,1.0,1.0,1.0,percentile
CLEAN,IDS,roc_auc,pooled_oof,Kingdom,Bacteria,0.9998143851492134,0.9994758579393593,1.0,percentile
CLEAN,IDS,roc_auc,pooled_oof,Kingdom,Fungi,0.7681488801054019,0.6626427789078392,0.8554849089478417,percentile
CLEAN,IDS,roc_auc,pooled_oof,Kingdom,Plants,0.9997043169722059,0.9990155672396658,1.0,percentile
CLEAN,IDS,roc_auc,pooled_oof,Kingdom,Protists,1.0,1.0,1.0,percentile
CLEAN,IDS,roc_auc,pooled_oof,Kingdom,Viruses,1.0,1.0,1.0,percentile
CLEAN,TPS,ap,pooled_oof,Kingdom,Animals,0.7832895411624478,0.5998195319199372,0.9117990706542294,percentile
CLEAN,TPS,ap,pooled_oof,Kingdom,Bacteria,0.9632804477965641,0.9297255516501665,0.9885257237691315,percentile
CLEAN,TPS,ap,pooled_oof,Kingdom,Fungi,0.9152062659587588,0.8650092147958975,0.9542867111952439,percentile
CLEAN,TPS,ap,pooled_oof,Kingdom,Plants,0.9983831840686774,0.9944268318031332,1.0,percentile
CLEAN,TPS,ap,pooled_oof,Kingdom,Protists,0.9130434782608695,0.7057352941176472,1.0,percentile
CLEAN,TPS,ap,pooled_oof,Kingdom,Viruses,1.0,1.0,1.0,percentile
CLEAN,TPS,roc_auc,pooled_oof,Kingdom,Animals,0.9842682095171484,0.9379749715347276,0.9988288035430789,percentile
CLEAN,TPS,roc_auc,pooled_oof,Kingdom,Bacteria,0.9964436326445618,0.9892875672093546,0.9998121929415265,percentile
CLEAN,TPS,roc_auc,pooled_oof,Kingdom,Fungi,0.9751837139874564,0.9581298271275953,0.9874236942871661,percentile
CLEAN,TPS,roc_auc,pooled_oof,Kingdom,Plants,0.9988687522228648,0.9968808193723374,1.0,percentile
CLEAN,TPS,roc_auc,pooled_oof,Kingdom,Protists,0.9970104566985432,0.991665502793296,1.0,percentile
CLEAN,TPS,roc_auc,pooled_oof,Kingdom,Viruses,1.0,1.0,1.0,percentile
CLEAN,_type_grouped,ap,pooled_oof,TPS_Type,di,0.44759940827111044,0.2956741716793199,0.5541040223318757,percentile
CLEAN,_type_grouped,ap,pooled_oof,TPS_Type,mono,0.3584193892376145,0.1638604582165793,0.5484259191590631,percentile
CLEAN,_type_grouped,ap,pooled_oof,TPS_Type,phytoene,0.6126066554492262,0.12121114082309842,0.8790222693899818,percentile
CLEAN,_type_grouped,ap,pooled_oof,TPS_Type,sesq,0.6599376241016969,0.5201554644651749,0.7698538121023787,percentile
CLEAN,_type_grouped,ap,pooled_oof,TPS_Type,sester,0.3897481419825655,0.21953976146732004,0.5573473763605781,percentile
CLEAN,_type_grouped,ap,pooled_oof,TPS_Type,squalene,0.8571428571428571,0.3336357433620684,1.0,percentile
CLEAN,_type_grouped,ap,pooled_oof,TPS_Type,tri,0.9673512180181346,0.8401980703569525,1.0,percentile
CLEAN,_type_grouped,roc_auc,pooled_oof,TPS_Type,di,0.8250321983367368,0.7573611032372936,0.8724076621790734,percentile
CLEAN,_type_grouped,roc_auc,pooled_oof,TPS_Type,mono,0.718160502056325,0.6138117453204024,0.8115178057461324,percentile
CLEAN,_type_grouped,roc_auc,pooled_oof,TPS_Type,phytoene,0.9410930455189829,0.7140327826408666,0.9998302531320343,percentile
CLEAN,_type_grouped,roc_auc,pooled_oof,TPS_Type,sesq,0.9054609553464394,0.8715746311025278,0.9341061900434012,percentile
CLEAN,_type_grouped,roc_auc,pooled_oof,TPS_Type,sester,0.7346248958895051,0.6460480934324936,0.8198996040309847,percentile
CLEAN,_type_grouped,roc_auc,pooled_oof,TPS_Type,squalene,0.9523397219966553,0.7499113195837153,1.0,percentile
CLEAN,_type_grouped,roc_auc,pooled_oof,TPS_Type,tri,0.9945055031929098,0.9198736014957563,1.0,percentile
Foldseek,2xFPP,ap,pooled_oof,Kingdom,Animals,1.0,1.0,1.0,percentile
Foldseek,2xFPP,ap,pooled_oof,Kingdom,Bacteria,0.7083333333333334,0.15555555555555556,1.0,percentile
Foldseek,2xFPP,ap,pooled_oof,Kingdom,Fungi,1.0,1.0,1.0,percentile
Foldseek,2xFPP,ap,pooled_oof,Kingdom,Plants,0.7309356351236147,0.125,1.0,percentile
Foldseek,2xFPP,roc_auc,pooled_oof,Kingdom,Animals,1.0,1.0,1.0,percentile
Foldseek,2xFPP,roc_auc,pooled_oof,Kingdom,Bacteria,0.9996654114347846,0.9983733521176128,1.0,percentile
Foldseek,2xFPP,roc_auc,pooled_oof,Kingdom,Fungi,1.0,1.0,1.0,percentile
Foldseek,2xFPP,roc_auc,pooled_oof,Kingdom,Plants,0.9984046794937051,0.9952884890621043,1.0,percentile
Foldseek,2xGGPP,ap,pooled_oof,Kingdom,Bacteria,1.0,1.0,1.0,percentile
Foldseek,2xGGPP,ap,pooled_oof,Kingdom,Fungi,1.0,1.0,1.0,percentile
Foldseek,2xGGPP,ap,pooled_oof,Kingdom,Plants,0.9059667240390132,0.0006085687276037051,1.0,percentile
Foldseek,2xGGPP,roc_auc,pooled_oof,Kingdom,Bacteria,1.0,1.0,1.0,percentile
Foldseek,2xGGPP,roc_auc,pooled_oof,Kingdom,Fungi,1.0,1.0,1.0,percentile
Foldseek,2xGGPP,roc_auc,pooled_oof,Kingdom,Plants,0.9523523523523523,0.4991387588024884,1.0,percentile
