classifier,target_class,family,fold,n,n_pos,log_loss,brier,ece,mce,log_loss_mean,log_loss_sd,brier_mean,brier_sd,ece_mean,ece_sd,mce_mean,mce_sd
PLM,GGPP,temperature,2,2100,50,0.04192261488901328,0.012271374067339065,0.0017442769389372404,0.00846221821807236,,,,,,,,
PLM,GGPP,temperature,3,2577,37,0.03623671216247929,0.009416537062685318,0.0033118352807223208,0.017780706545343195,,,,,,,,
PLM,GGPP,temperature,4,2208,52,0.029004891694802238,0.00857588791963431,0.010417590167605848,0.08047557559305266,,,,,,,,
PLM,GGPP,temperature,__mean_sd__,11374,230,0.032008,0.008931,0.004798,0.034733,0.03200839315050413,0.007602075212284154,0.008930748115797051,0.002256071639710706,0.004797801747460143,0.00330582732413636,0.034732908567168735,0.02950665450578748
PLM,EDSQ,temperature,0,2325,3,0.00018872850750268857,1.4370054150823234e-05,8.257042769860593e-05,0.020610757286319226,,,,,,,,
PLM,EDSQ,temperature,1,2164,45,0.0010884925085297577,8.23844685222321e-05,0.0009171738126136952,0.00443560084395217,,,,,,,,
PLM,EDSQ,temperature,2,2100,4,0.00325242286432326,0.0005415370182792443,0.0007064226678112401,0.04186335452180112,,,,,,,,
PLM,EDSQ,temperature,3,2577,2,0.0002620767580611174,6.4089048930529925e-06,0.00018188165033838837,0.07994996598850856,,,,,,,,
PLM,EDSQ,temperature,4,2208,34,0.0045773014986341615,0.0008894959126489801,0.0008647840429136978,0.004293247771580411,,,,,,,,
PLM,EDSQ,temperature,__mean_sd__,11374,88,0.001874,0.000307,0.000551,0.030231,0.0018738044274101973,0.0019534166833171055,0.0003068392716988665,0.0003939379394887216,0.0005505665202751254,0.0003912715083675584,0.030230585282432297,0.03177265305250819
PLM,CPP,temperature,0,2325,5,0.014964895315368551,0.00324793040434759,0.0012761437924575418,0.7942488041487166,,,,,,,,
PLM,CPP,temperature,1,2164,35,0.017889561153839346,0.004769019464459784,0.004949815409093415,0.08079240896002093,,,,,,,,
PLM,CPP,temperature,2,2100,9,0.021693899356457186,0.005541455649090219,0.001960085577444968,0.9746020032646084,,,,,,,,
PLM,CPP,temperature,3,2577,22,0.008046732125750803,0.0019671090005693942,0.00268810456409288,0.03675329023466134,,,,,,,,
PLM,CPP,temperature,4,2208,23,0.015473445338291368,0.005253732462083937,0.006802392491545498,0.10190983367459361,,,,,,,,
PLM,CPP,temperature,__mean_sd__,11374,94,0.015614,0.004156,0.003535,0.397661,0.015613706657941451,0.004996198302320621,0.004155849396110184,0.0015096465531908793,0.0035353083669268605,0.00229006411177998,0.39766126805652013,0.4495196433376622
PLM,GFPP,temperature,0,2325,17,0.008357291227948203,0.0022614702953682665,0.0017744181730531333,0.2346208300123448,,,,,,,,
PLM,GFPP,temperature,1,2164,6,0.007685899249759799,0.0014992854723866519,0.0012315810032283699,0.25378740713258385,,,,,,,,
PLM,GFPP,temperature,2,2100,13,0.0483161388250056,0.006249027487997291,0.003788024216542155,0.9186881035367336,,,,,,,,
PLM,GFPP,temperature,3,2577,16,0.008091512970153413,0.0022018057702387216,0.001505239684956576,0.11657094167637982,,,,,,,,
PLM,GFPP,temperature,4,2208,9,0.008009338488219133,0.0013791361947564345,0.0015128043114397863,0.25050332091176686,,,,,,,,
PLM,GFPP,temperature,__mean_sd__,11374,61,0.016092,0.002718,0.001962,0.354834,0.01609203615221723,0.01801541411158171,0.002718145044149473,0.0020137559595604254,0.0019624134778440045,0.0010384446529839717,0.35483412065396175,0.32025273059119713
PLM,2xFPP,temperature,0,2325,7,0.002565104798567633,0.0008400303527116776,0.001135918207735212,0.41813582126322035,,,,,,,,
PLM,2xFPP,temperature,1,2164,8,0.0032379999150462403,0.0011963575635614895,0.0019654155759759873,0.3717961906784326,,,,,,,,
PLM,2xFPP,temperature,2,2100,1,0.0019165518865284,0.0004542804839030227,0.0005950976915981716,0.9765142891533388,,,,,,,,
PLM,2xFPP,temperature,3,2577,2,0.004025625140413095,0.0007664790279039843,0.0006968556517658229,0.006633291047078461,,,,,,,,
PLM,2xFPP,temperature,4,2208,1,0.0004857745377302957,1.9430543542964657e-05,0.00047505601362253584,0.16965381048764427,,,,,,,,
PLM,2xFPP,temperature,__mean_sd__,11374,19,0.002446,0.000655,0.000974,0.388547,0.0024462112556571324,0.0013471696577774203,0.0006553155943246278,0.0004427098871825274,0.0009736686281395458,0.0006079561768458416,0.3885466805259429,0.36763906571920474
PLM,2xGGPP,logit_platt,0,2325,1,0.0030507063518594724,0.0010388137655921001,0.0015827774619978279,0.7958047676934695,,,,,,,,
PLM,2xGGPP,logit_platt,1,2164,2,0.00397499615790085,0.0004623698189729234,0.0004333058485080527,0.007773491643038533,,,,,,,,
PLM,2xGGPP,logit_platt,2,2100,8,0.0025034257238878213,0.0008310774559691586,0.0012156808185907213,0.24250722263534985,,,,,,,,
PLM,2xGGPP,logit_platt,3,2577,3,0.0005823784136856405,0.00017519752089815047,0.0001328392858209622,0.031944348900105224,,,,,,,,
PLM,2xGGPP,logit_platt,4,2208,3,9.712923840240594e-05,1.4922673230751393e-06,3.2009055023711923e-05,0.012180198302273793,,,,,,,,
PLM,2xGGPP,logit_platt,__mean_sd__,11374,17,0.002042,0.000502,0.000679,0.218042,0.002041727177147238,0.0016492341731692472,0.0005017901657510816,0.00043455125499444644,0.0006793224939882552,0.0006859471383637726,0.2180420058348474,0.3375028242849268
