classifier,target_class,family,bin_idx,edge_lo,edge_hi,n,n_pos,p_pred_mean,p_obs,wilson_lo,wilson_hi
PLM,GGPP,temperature,6,0.0016261593878227026,0.0020241426891088937,1137,0,0.001820138559553592,0.0,0.0,0.0033673386384227223
PLM,GGPP,temperature,7,0.0020241426891088937,0.002605207630018876,1138,0,0.0022960189900002232,0.0,0.0,0.0033643895965955344
PLM,GGPP,temperature,8,0.002605207630018876,0.003542416095546954,1137,0,0.003020723249195082,0.0,0.0,0.0033673386384227223
PLM,GGPP,temperature,9,0.003542416095546954,0.006112609642838343,1137,0,0.00452400108417843,0.0,0.0,0.0033673386384227223
PLM,GGPP,temperature,10,0.006112609642838343,0.9996384257635401,1137,227,0.16970831541165354,0.1996481970096746,0.1774413601475957,0.223877806334412
PLM,GGPP,temperature,11,0.9996384257635401,1.0,1,1,0.9996384257635401,1.0,0.2065432914738929,1.0
PLM,EDSQ,temperature,1,2.7898667365334058e-12,1.438264317516324e-06,2275,0,1.4700446327164775e-07,0.0,0.0,0.0016857687695362414
PLM,EDSQ,temperature,2,1.438264317516324e-06,1.1366635984876343e-05,2275,0,5.577429151396666e-06,0.0,0.0,0.0016857687695362414
PLM,EDSQ,temperature,3,1.1366635984876343e-05,3.688502980295244e-05,2274,0,2.2948880456059546e-05,0.0,0.0,0.0016865088424058983
PLM,EDSQ,temperature,4,3.688502980295244e-05,0.00011262150001403187,2275,0,6.789794017745319e-05,0.0,0.0,0.0016857687695362414
PLM,EDSQ,temperature,5,0.00011262150001403187,0.9999334809393879,2274,87,0.037632740782708285,0.03825857519788918,0.031121418813810746,0.04695319357363533
PLM,EDSQ,temperature,6,0.9999334809393879,1.0,1,1,0.9999334809393879,1.0,0.2065432914738929,1.0
PLM,CPP,temperature,1,2.209039437988677e-11,0.00025012775751100233,1896,0,0.00012810879366741758,0.0,0.0,0.0020220633130677845
PLM,CPP,temperature,2,0.00025012775751100233,0.000539696238717674,1895,1,0.0003890045240967236,0.0005277044854881266,9.315647739969427e-05,0.0029832454720836116
PLM,CPP,temperature,3,0.000539696238717674,0.0008810161393331788,1896,0,0.0007087352544623477,0.0,0.0,0.0020220633130677845
PLM,CPP,temperature,4,0.0008810161393331788,0.001324281284449545,1895,0,0.0010892803133156694,0.0,0.0,0.0020231282061652744
PLM,CPP,temperature,5,0.001324281284449545,0.0020996885907618055,1896,2,0.0016515062688311174,0.0010548523206751054,0.00028932017633066993,0.0038381818217306423
PLM,CPP,temperature,6,0.0020996885907618055,0.9746020032646084,1895,91,0.04300315587887934,0.04802110817941953,0.03927510439943399,0.05859593444867214
PLM,CPP,temperature,7,0.9746020032646084,1.0,1,0,0.9746020032646084,0.0,0.0,0.7934567085261071
PLM,GFPP,temperature,1,8.027488378219303e-13,0.0003079574203764489,2844,6,0.00010880622614954923,0.002109704641350211,0.0009672309060245866,0.004595438028933032
PLM,GFPP,temperature,2,0.0003079574203764489,0.0008644213631684765,2843,0,0.0005707007157839455,0.0,0.0,0.0013494252718521465
PLM,GFPP,temperature,3,0.0008644213631684765,0.0019060429785097415,2843,1,0.001308395476980501,0.00035174111853675694,6.209204579240126e-05,0.001989866166424253
PLM,GFPP,temperature,4,0.0019060429785097415,0.9186881035367336,2843,54,0.01900202133183666,0.018994020400984874,0.014586870014650817,0.02469933403688475
PLM,GFPP,temperature,5,0.9186881035367336,1.0,1,0,0.9186881035367336,0.0,0.0,0.7934567085261071
PLM,2xFPP,temperature,1,9.216506844561665e-12,5.4761090523807695e-05,5687,0,1.564689930620834e-05,0.0,0.0,0.0006750495392456539
PLM,2xFPP,temperature,2,5.4761090523807695e-05,0.8303461895123557,5686,18,0.0016757195991638847,0.0031656700668308124,0.002003412543412059,0.00499882105128063
PLM,2xFPP,temperature,3,0.8303461895123557,1.0,1,1,0.8303461895123557,1.0,0.2065432914738929,1.0
PLM,2xGGPP,logit_platt,1,1.674533533194974e-22,1.6932317433433497e-06,5687,0,2.7534287059289803e-07,0.0,0.0,0.0006750495392456539
PLM,2xGGPP,logit_platt,2,1.6932317433433497e-06,0.9922265083569615,5686,16,0.002796504423749521,0.0028139289482940555,0.0017328516921338863,0.0045663746343072575
PLM,2xGGPP,logit_platt,3,0.9922265083569615,1.0,1,1,0.9922265083569615,1.0,0.2065432914738929,1.0
