track,model,tps_type,ap_mean,ap_std,n_folds,mean_n_pos,ap_sem
D,HMM,sesq,0.9954882770042641,0.005881978485028142,5,102.0,0.002630500746942831
D,HMM,sester,0.9722222222222222,0.04811252243246889,3,5.666666666666667,0.027777777777777825
D,HMM,tetra,0.006362672322375398,,1,12.0,
D,HMM,tri,0.6540917715266521,0.37755489835300077,5,22.8,0.1688476835910666
D,PlmDomainsRF,di,0.9984869606122965,0.002319836184122928,5,53.4,0.001037462280872517
D,PlmDomainsRF,hemi,1.0,,1,3.0,
D,PlmDomainsRF,mono,0.9996513764648777,0.0004779859534295414,5,53.8,0.00021376181683170067
D,PlmDomainsRF,pt,0.694391284202649,0.1771865245070664,5,34.0,0.07924022269894658
D,PlmDomainsRF,sesq,0.9982010481969544,0.003829447408344216,5,102.0,0.0017125809442636122
D,PlmDomainsRF,sester,1.0,0.0,3,5.666666666666667,0.0
D,PlmDomainsRF,tetra,1.0,,1,12.0,
D,PlmDomainsRF,tri,1.0,0.0,5,22.8,0.0
D,PlmRF,di,0.9786834330644245,0.0209991140094879,5,53.4,0.009391089278496622
D,PlmRF,hemi,1.0,,1,3.0,
D,PlmRF,mono,0.9997338065661048,0.0005952266133540003,5,53.8,0.00026619343389530577
D,PlmRF,pt,0.8485711202611667,0.12125262827494776,5,34.0,0.054225823854659246
D,PlmRF,sesq,0.9976498103592512,0.004499314444382943,5,102.0,0.002012154589957391
D,PlmRF,sester,1.0,1.5700924586837752e-16,3,5.666666666666667,9.06493303673679e-17
D,PlmRF,tetra,1.0,,1,12.0,
D,PlmRF,tri,0.9899999999999999,0.022360679774997907,5,22.8,0.010000000000000004
E,Blastp,di,0.8945743779109513,0.06006444216790322,5,53.4,0.026861635143607288
E,Blastp,hemi,1.0,,1,3.0,
E,Blastp,mono,0.8853519684236734,0.0578503591420512,5,53.8,0.02587146711288058
E,Blastp,pt,0.3920126192143011,0.20248638842152283,5,34.0,0.09055466580579027
E,Blastp,sesq,0.9447686425793297,0.029235443813683183,5,102.0,0.013074487943954258
E,Blastp,sester,0.5721955665617637,0.18666588468140632,3,5.666666666666667,0.10777159876932958
E,Blastp,tetra,0.9230769230769231,,1,12.0,
E,Blastp,tri,0.6417750926431894,0.35295758562769575,5,22.8,0.15784743092754608
E,CLEAN,di,0.33955040765903766,0.2469579231378131,5,53.4,0.11044294074366365
E,CLEAN,hemi,0.2275132275132275,,1,3.0,
E,CLEAN,mono,0.3591041120425623,0.3125053104282934,5,53.8,0.13975662348946757
E,CLEAN,pt,0.3872385569311332,0.300629868230756,5,34.0,0.13444576428615496
E,CLEAN,sesq,0.45168972784596717,0.2574440930059225,5,102.0,0.11513249847340418
E,CLEAN,sester,0.02569009483403643,0.01353931956030161,3,5.666666666666667,0.0078169297927845
E,CLEAN,tetra,0.24494301994301992,,1,12.0,
E,CLEAN,tri,0.3491157588154943,0.3114730635609826,5,22.8,0.13929498865649395
E,CLEANEc,di,0.33808102013571684,0.2458973353397231,5,53.4,0.10996863146113643
E,CLEANEc,hemi,0.2275132275132275,,1,3.0,
E,CLEANEc,mono,0.3552044183874588,0.3140872306894226,5,53.8,0.14046407973724143
E,CLEANEc,pt,0.04556504311255503,0.037461676153809395,5,34.0,0.016753370886200134
E,CLEANEc,sesq,0.45278140532658695,0.25466742399266606,5,102.0,0.11389073434047244
E,CLEANEc,sester,0.013019904803559199,0.005211352130153169,3,5.666666666666667,0.003008775555185862
E,CLEANEc,tetra,0.24494301994301992,,1,12.0,
E,CLEANEc,tri,0.365790135770707,0.3251917487952307,5,22.8,0.14543017120563423
E,CLEANProp,di,0.2163146562231701,0.09831060410851929,5,53.4,0.043965838739143843
E,CLEANProp,hemi,0.01020408163265306,,1,3.0,
E,CLEANProp,mono,0.2213196563939123,0.14392060439756532,5,53.8,0.06436325095916225
E,CLEANProp,pt,0.15692354397566124,0.09666759140920622,5,34.0,0.04323106112243196
E,CLEANProp,sesq,0.33809033098648944,0.12220121968155893,5,102.0,0.054650046828270196
E,CLEANProp,sester,0.021882143925663317,0.010325205850028114,3,5.666666666666667,0.005961260376952031
E,CLEANProp,tetra,0.08955223880597014,,1,12.0,
E,CLEANProp,tri,0.08971693678802643,0.10336953764979338,5,22.8,0.04622826259753237
E,Foldseek,di,0.9524756973775821,0.03680007346012965,5,53.4,0.01645749316676716
E,Foldseek,hemi,1.0,,1,3.0,
E,Foldseek,mono,0.952270244102605,0.03557088633882039,5,53.8,0.0159077839747042
E,Foldseek,pt,0.37004527257702213,0.2713180569144104,5,34.0,0.12133712375675569
E,Foldseek,sesq,0.9686560651965959,0.028814584317625114,5,102.0,0.012886273855521829
E,Foldseek,sester,0.6807120500782472,0.06359621680902622,3,5.666666666666667,0.03671729289413309
E,Foldseek,tetra,0.9230769230769231,,1,12.0,
E,Foldseek,tri,0.8241905932156437,0.16825957796435098,5,22.8,0.07524797083874289
E,HMM,di,0.9236608440831358,0.04125562210531292,5,53.4,0.018450075096304534
E,HMM,hemi,1.0,,1,3.0,
E,HMM,mono,0.9999608763693271,8.74830977112653e-05,5,53.8,3.9123630672929094e-05
E,HMM,pt,0.8033586144467002,0.14630275754224084,5,34.0,0.06542858223202411
E,HMM,sesq,0.9828207324996452,0.021853316917258198,5,102.0,0.009773100432167095
E,HMM,sester,1.0,0.0,3,5.666666666666667,0.0
E,HMM,tetra,0.5859844468009898,,1,12.0,
E,HMM,tri,0.5875689953258807,0.35617115286184264,5,22.8,0.15928458188470979
E,PlmDomainsRF,di,0.9944764223943758,0.011768620546777653,5,53.4,0.005263087108799115
E,PlmDomainsRF,hemi,1.0,,1,3.0,
