track,model,tps_type,fold,n_pos,n_neg,ap,pos_mean,pos_median,pos_min,pos_max,pos_frac_zero,neg_mean,neg_median,neg_max,neg_frac_nonzero
A,CLEANProp,tri,0,8,2002,0.3076923076923077,1.0,1.0,1.0,1.0,0.0,0.010621018811033948,0.0,1.0,0.012487512487512488
A,CLEANProp,tetra,0,3,2002,0.14285714285714285,1.0,1.0,1.0,1.0,0.0,0.010621018811033948,0.0,1.0,0.012487512487512488
A,CLEANProp,sesq,1,49,1988,0.5850359090418,0.9387755102040817,1.0,0.0,1.0,0.061224489795918366,0.015406791191820516,0.0,1.0,0.01659959758551308
A,CLEANProp,ggpps,1,20,1988,0.4166666666666667,1.0,1.0,1.0,1.0,0.0,0.015406791191820516,0.0,1.0,0.01659959758551308
A,CLEANProp,di,1,36,1988,0.5406175279363686,0.9722222222222222,1.0,0.0,1.0,0.027777777777777776,0.015406791191820516,0.0,1.0,0.01659959758551308
A,CLEANProp,tri,1,5,1988,0.1005017561465128,0.8,1.0,0.0,1.0,0.2,0.015406791191820516,0.0,1.0,0.01659959758551308
A,CLEANProp,sester,1,13,1988,0.3170731707317073,1.0,1.0,1.0,1.0,0.0,0.015406791191820516,0.0,1.0,0.01659959758551308
A,CLEANProp,fpps,1,11,1988,0.28205128205128205,1.0,1.0,1.0,1.0,0.0,0.015406791191820516,0.0,1.0,0.01659959758551308
A,CLEANProp,mono,1,13,1988,0.3170731707317073,1.0,1.0,1.0,1.0,0.0,0.015406791191820516,0.0,1.0,0.01659959758551308
A,CLEANProp,gpps,1,14,1988,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.015406791191820516,0.0,1.0,0.01659959758551308
A,CLEANProp,sesq,2,101,1982,0.8211382113821138,1.0,1.0,1.0,1.0,0.0,0.011912350878465068,0.0,1.0,0.012613521695257316
A,CLEANProp,di,2,28,1982,0.531838620309531,0.9642857142857143,1.0,0.0,1.0,0.03571428571428571,0.011912350878465068,0.0,1.0,0.012613521695257316
A,CLEANProp,mono,2,95,1982,0.8022963456821622,0.9894736842105263,1.0,0.0,1.0,0.010526315789473684,0.011912350878465068,0.0,1.0,0.012613521695257316
A,CLEANProp,sesq,3,113,1985,0.8269790330138576,0.9823008849557522,1.0,0.0,1.0,0.017699115044247787,0.012399111958305913,0.0,1.0,0.014105793450881612
A,CLEANProp,di,3,9,1985,0.3,1.0,1.0,1.0,1.0,0.0,0.012399111958305913,0.0,1.0,0.014105793450881612
A,CLEANProp,mono,3,86,1985,0.7716856059788079,0.9651162790697675,1.0,0.0,1.0,0.03488372093023256,0.012399111958305913,0.0,1.0,0.014105793450881612
A,CLEANProp,ggpps,3,5,1985,0.19230769230769232,1.0,1.0,1.0,1.0,0.0,0.012399111958305913,0.0,1.0,0.014105793450881612
A,CLEANProp,sester,3,6,1985,0.2222222222222222,1.0,1.0,1.0,1.0,0.0,0.012399111958305913,0.0,1.0,0.014105793450881612
A,CLEANProp,tri,3,6,1985,0.2222222222222222,1.0,1.0,1.0,1.0,0.0,0.012399111958305913,0.0,1.0,0.014105793450881612
A,CLEANProp,negative,3,3,1985,0.125,1.0,1.0,1.0,1.0,0.0,0.012399111958305913,0.0,1.0,0.014105793450881612
A,CLEANProp,sesq,4,78,1987,0.7817235777405269,0.9807692307692307,1.0,0.0,1.0,0.01282051282051282,0.011496191459430777,0.0,1.0,0.013085052843482638
A,CLEANProp,tri,4,111,1987,0.8009063429925455,0.9453191536083492,1.0,0.0,1.0,0.04504504504504504,0.011496191459430777,0.0,1.0,0.013085052843482638
A,CLEANProp,di-int,4,5,1987,0.2,1.0,1.0,1.0,1.0,0.0,0.011496191459430777,0.0,1.0,0.013085052843482638
A,CLEANProp,di,4,7,1987,0.1983037023157384,0.8571428571428571,1.0,0.0,1.0,0.14285714285714285,0.011496191459430777,0.0,1.0,0.013085052843482638
A,CLEANProp,sester,4,3,1987,0.13043478260869565,1.0,1.0,1.0,1.0,0.0,0.011496191459430777,0.0,1.0,0.013085052843482638
A,CLEANProp,ggpps,4,12,1987,0.375,1.0,1.0,1.0,1.0,0.0,0.011496191459430777,0.0,1.0,0.013085052843482638
A,CLEANProp,mono,4,20,1987,0.5,1.0,1.0,1.0,1.0,0.0,0.011496191459430777,0.0,1.0,0.013085052843482638
A,Foldseek,sesq,0,144,2002,0.993103448275862,1.0,1.0,1.0,1.0,0.0,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Foldseek,mono,0,15,2002,0.9375,1.0,1.0,1.0,1.0,0.0,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Foldseek,di-int,0,41,2002,0.9761904761904762,1.0,1.0,1.0,1.0,0.0,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Foldseek,ggpps,0,21,2002,0.11604053386060306,0.14285714285714285,0.0,0.0,1.0,0.8571428571428571,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Foldseek,sester,0,9,2002,0.790620721832391,0.8888888888888888,1.0,0.0,1.0,0.1111111111111111,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Foldseek,di,0,56,2002,0.9303598423496383,0.9464285714285714,1.0,0.0,1.0,0.05357142857142857,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Foldseek,gfpps,0,3,2002,0.0014962593516209476,0.0,0.0,0.0,0.0,1.0,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Foldseek,tri,0,8,2002,0.6438521677327647,0.75,1.0,0.0,1.0,0.25,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Foldseek,tetra,0,3,2002,0.75,1.0,1.0,1.0,1.0,0.0,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Foldseek,sesq,1,49,1988,0.9601655095027701,0.9591836734693877,1.0,0.0,1.0,0.04081632653061224,0.0,0.0,0.0,0.0
A,Foldseek,ggpps,1,20,1988,0.5049800796812749,0.5,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0
A,Foldseek,di,1,36,1988,0.8635814668423365,0.8611111111111112,1.0,0.0,1.0,0.1388888888888889,0.0,0.0,0.0,0.0
A,Foldseek,tri,1,5,1988,0.8005017561465129,0.8,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0
A,Foldseek,sester,1,13,1988,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A,Foldseek,fpps,1,11,1988,0.4575469552958297,0.45454545454545453,0.0,0.0,1.0,0.5454545454545454,0.0,0.0,0.0,0.0
A,Foldseek,mono,1,13,1988,0.9235766732018607,0.9230769230769231,1.0,0.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0
A,Foldseek,gpps,1,14,1988,0.4325674325674325,0.42857142857142855,0.0,0.0,1.0,0.5714285714285714,0.0,0.0,0.0,0.0
A,Foldseek,sesq,2,101,1982,0.9335044656650013,0.9603960396039604,1.0,0.0,1.0,0.039603960396039604,0.0015136226034308778,0.0,1.0,0.0015136226034308778
A,Foldseek,di,2,28,1982,0.9032258064516129,1.0,1.0,1.0,1.0,0.0,0.0015136226034308778,0.0,1.0,0.0015136226034308778
A,Foldseek,mono,2,95,1982,0.8891148670906925,0.9157894736842105,1.0,0.0,1.0,0.08421052631578947,0.0015136226034308778,0.0,1.0,0.0015136226034308778
A,Foldseek,sesq,3,113,1985,0.9407581215531476,0.9557522123893806,1.0,0.0,1.0,0.04424778761061947,0.0010075566750629723,0.0,1.0,0.0010075566750629723
A,Foldseek,di,3,9,1985,0.8181818181818182,1.0,1.0,1.0,1.0,0.0,0.0010075566750629723,0.0,1.0,0.0010075566750629723
A,Foldseek,mono,3,86,1985,0.9104411102952393,0.9302325581395349,1.0,0.0,1.0,0.06976744186046512,0.0010075566750629723,0.0,1.0,0.0010075566750629723
A,Foldseek,ggpps,3,5,1985,0.20150753768844223,0.4,0.0,0.0,1.0,0.6,0.0010075566750629723,0.0,1.0,0.0010075566750629723
A,Foldseek,sester,3,6,1985,0.75,1.0,1.0,1.0,1.0,0.0,0.0010075566750629723,0.0,1.0,0.0010075566750629723
A,Foldseek,tri,3,6,1985,0.75,1.0,1.0,1.0,1.0,0.0,0.0010075566750629723,0.0,1.0,0.0010075566750629723
A,Foldseek,negative,3,3,1985,0.6,1.0,1.0,1.0,1.0,0.0,0.0010075566750629723,0.0,1.0,0.0010075566750629723
A,Foldseek,sesq,4,78,1987,0.9876637486806978,0.9871794871794872,1.0,0.0,1.0,0.01282051282051282,0.0,0.0,0.0,0.0
A,Foldseek,tri,4,111,1987,0.19795772893961644,0.15315315315315314,0.0,0.0,1.0,0.8468468468468469,0.0,0.0,0.0,0.0
A,Foldseek,di-int,4,5,1987,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A,Foldseek,di,4,7,1987,0.8576443616563977,0.8571428571428571,1.0,0.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0
A,Foldseek,sester,4,3,1987,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A,Foldseek,ggpps,4,12,1987,0.17166916791729198,0.16666666666666666,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0
A,Foldseek,mono,4,20,1987,0.9009965122072746,0.9,1.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0
A,HMM,sesq,0,144,2002,1.0,0.9999614385364496,0.99999999977,0.9985,1.0,0.0,0.0,0.0,0.0,0.0
A,HMM,mono,0,15,2002,1.0,0.9999893514098562,0.99999999999906,0.99987,1.0,0.0,0.0,0.0,0.0,0.0
A,HMM,di-int,0,41,2002,0.9760992323579624,0.975609756097561,1.0,0.0,1.0,0.024390243902439025,0.0,0.0,0.0,0.0
